"OriginalPath","BackupPath","LastWriteTime","Length"
"C:\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip","8/3/2026 7:53:15 AM","115013156"
"C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec","5/10/2023 10:53:30 AM","3820"
"C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip","8/3/2026 7:52:25 AM","4446219"
"C:\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml","5/10/2023 10:53:32 AM","932"
"C:\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp","5/10/2023 10:53:32 AM","3495"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1","5/10/2023 10:53:30 AM","15846"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1","5/10/2023 10:53:30 AM","46947"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1","5/10/2023 10:53:30 AM","14383"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt","5/10/2023 10:53:30 AM","1145"
"C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe","5/10/2023 10:53:30 AM","7613568"
